Product Name,Price,Product Link,Image Link
"Nothing CMF Phone 1 5G (6GB RAM, 128GB, Orange)","₹14,999",https://www.croma.com/nothing-cmf-phone-1-5g-6gb-ram-128gb-orange-/p/308337,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1720678984/Croma%20Assets/Communication/Mobiles/Images/308337_0_mjsvxq.png?tr=w-400
"Google Pixel 9 Pro 5G (16GB RAM, 256GB, Hazel)",Price not found,https://www.croma.com/google-pixel-9-pro-5g-16gb-ram-256gb-hazel-/p/309163,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723648979/Croma%20Assets/Communication/Mobiles/Images/309163_0_s395j3.png?tr=w-400
"Google Pixel 9 5G (12GB RAM, 256GB, Peony)","₹79,999",https://www.croma.com/google-pixel-9-5g-12gb-ram-256gb-peony-/p/309170,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723573845/Croma%20Assets/Communication/Mobiles/Images/309170_0_fnw6ux.png?tr=w-400
"Google Pixel 9 Pro 5G (16GB RAM, 256GB, Porcelain)",Price not found,https://www.croma.com/google-pixel-9-pro-5g-16gb-ram-256gb-porcelain-/p/309145,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724267341/Croma%20Assets/Communication/Mobiles/Images/309145_0_liywir.png?tr=w-400
"Google Pixel 9 Pro 5G (16GB RAM, 256GB, Rose Quartz)",Price not found,https://www.croma.com/google-pixel-9-pro-5g-16gb-ram-256gb-rose-quartz-/p/309139,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723649007/Croma%20Assets/Communication/Mobiles/Images/309139_0_twgtjr.png?tr=w-400
"Google Pixel 9 Pro 5G (16GB RAM, 256GB, Porcelain)",Price not found,https://www.croma.com/google-pixel-9-pro-5g-16gb-ram-256gb-porcelain-/p/309145,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724267341/Croma%20Assets/Communication/Mobiles/Images/309145_0_liywir.png?tr=w-400
"Google Pixel 9 Pro 5G (16GB RAM, 256GB, Rose Quartz)",Price not found,https://www.croma.com/google-pixel-9-pro-5g-16gb-ram-256gb-rose-quartz-/p/309139,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1723649007/Croma%20Assets/Communication/Mobiles/Images/309139_0_twgtjr.png?tr=w-400
"SAMSUNG Galaxy S23 5G (8GB RAM, 128GB, Phantom Black)","₹61,999",https://www.croma.com/samsung-galaxy-s23-5g-8gb-ram-128gb-phantom-black-/p/268868,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715785310/Croma%20Assets/Communication/Mobiles/Images/268868_0_iz3gsn.png?tr=w-400
"vivo X100 5G (12GB RAM, 256GB, Asteroid Black)","₹63,999",https://www.croma.com/vivo-x100-5g-12gb-ram-256gb-asteroid-black-/p/303562,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1703915520/Croma%20Assets/Communication/Mobiles/Images/303562_b0eksj.png?tr=w-400
"Redmi Note 13 5G (12GB RAM, 256GB, Arctic White)","₹18,999",https://www.croma.com/redmi-note-13-5g-12gb-ram-256gb-arctic-white-/p/303498,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1703921291/Croma%20Assets/Communication/Mobiles/Images/303498_nweoyh.png?tr=w-400
